Date,Consommation (MW),ds,y
2017-09-22,49266.458333333336,2017-09-22,49266.458333333336
2017-09-23,43627.458333333336,2017-09-23,43627.458333333336
2017-09-24,40670.770833333336,2017-09-24,40670.770833333336
2017-09-25,47940.625,2017-09-25,47940.625
2017-09-26,49003.520833333336,2017-09-26,49003.520833333336
2017-09-27,49133.354166666664,2017-09-27,49133.354166666664
2017-09-28,48978.604166666664,2017-09-28,48978.604166666664
2017-09-29,48184.354166666664,2017-09-29,48184.354166666664
2017-09-30,43128.541666666664,2017-09-30,43128.541666666664
2017-10-01,41284.416666666664,2017-10-01,41284.416666666664
2017-10-02,48510.041666666664,2017-10-02,48510.041666666664
2017-10-03,49323.166666666664,2017-10-03,49323.166666666664
2017-10-04,50019.541666666664,2017-10-04,50019.541666666664
2017-10-05,50643.375,2017-10-05,50643.375
2017-10-06,50465.25,2017-10-06,50465.25
2017-10-07,46191.354166666664,2017-10-07,46191.354166666664
2017-10-08,43202.354166666664,2017-10-08,43202.354166666664
2017-10-09,50026.041666666664,2017-10-09,50026.041666666664
2017-10-10,50681.104166666664,2017-10-10,50681.104166666664
2017-10-11,50664.166666666664,2017-10-11,50664.166666666664
2017-10-12,50175.958333333336,2017-10-12,50175.958333333336
2017-10-13,49317.083333333336,2017-10-13,49317.083333333336
2017-10-14,43732.645833333336,2017-10-14,43732.645833333336
2017-10-15,40953.041666666664,2017-10-15,40953.041666666664
2017-10-16,47945.791666666664,2017-10-16,47945.791666666664
2017-10-17,49167.354166666664,2017-10-17,49167.354166666664
2017-10-18,49585.604166666664,2017-10-18,49585.604166666664
2017-10-19,49578.145833333336,2017-10-19,49578.145833333336
2017-10-20,49614.3125,2017-10-20,49614.3125
2017-10-21,44846.458333333336,2017-10-21,44846.458333333336
2017-10-22,43941.708333333336,2017-10-22,43941.708333333336
2017-10-23,52274.604166666664,2017-10-23,52274.604166666664
2017-10-24,52244.854166666664,2017-10-24,52244.854166666664
2017-10-25,51390.729166666664,2017-10-25,51390.729166666664
